Bus,Architecture,N_Runs,Success_Rate_Mean,Success_Rate_SD,Success_Rate_CI95_Low,Success_Rate_CI95_High,NN_Time_s_Mean,NN_Time_s_SD,NN_Time_s_CI95_Low,NN_Time_s_CI95_High,IPOPT_Restoration_Time_s_Mean,IPOPT_Restoration_Time_s_SD,IPOPT_Restoration_Time_s_CI95_Low,IPOPT_Restoration_Time_s_CI95_High,Total_Online_Time_s_Mean,Total_Online_Time_s_SD,Total_Online_Time_s_CI95_Low,Total_Online_Time_s_CI95_High,Cold_IPOPT_Time_s_Mean,Cold_IPOPT_Time_s_SD,Cold_IPOPT_Time_s_CI95_Low,Cold_IPOPT_Time_s_CI95_High,Speedup_Mean,Speedup_SD,Speedup_CI95_Low,Speedup_CI95_High,Feasible_Obj_Gap_pct_Mean,Feasible_Obj_Gap_pct_SD,Feasible_Obj_Gap_pct_CI95_Low,Feasible_Obj_Gap_pct_CI95_High
14,Ablated PINN,5,1.0,0.0,1.0,1.0,1.5660160000697942e-05,8.715241769594142e-06,4.838758059751231e-06,2.648156194164465e-05,0.11895739653998243,0.012645385581161774,0.10325607652044887,0.13465871655951597,0.11897305669998308,0.012643773320865546,0.10327373856601509,0.1346723748339511,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,1.267804639657056,0.1276858897312052,1.1092616672992026,1.4263476120149092,-4.396861718099025e-09,4.896895888531708e-09,-1.0477161045840879e-08,1.6834376096428296e-09
14,DC3,5,1.0,0.0,1.0,1.0,1.3943500001187203e-05,4.985510668231363e-06,7.75317089178353e-06,2.0133829110590878e-05,0.1578925778800134,0.025570085288218206,0.12614312354663315,0.18964203221339365,0.15790652138001454,0.025573532877087274,0.12615278629965496,0.18966025646037413,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,0.9672009527550692,0.1560090432221094,0.7734901403919611,1.1609117651181775,-1.8565652011839573e-09,2.408594830317509e-09,-4.847230688248913e-09,1.1341002858809982e-09
14,FSNet,5,1.0,0.0,1.0,1.0,1.2320080000063173e-05,2.1964128859307087e-06,9.592873194412182e-06,1.5047286805714164e-05,0.14963187653998755,0.03623541055835333,0.10463967178954767,0.19462408129042744,0.14964419661998757,0.03623653927909016,0.10465059037764474,0.1946378028623304,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,1.0450451863978076,0.23740641954041034,0.7502661823120216,1.3398241904835937,-4.0555110083868915e-09,2.4274808190576745e-09,-7.069626547740992e-09,-1.041395469032791e-09
14,KKT,5,1.0,0.0,1.0,1.0,2.10036399999808e-05,1.189824294328748e-05,6.230020095418744e-06,3.5777259904542854e-05,0.1495690871200306,0.01753481800500589,0.12779673488815965,0.17134143935190158,0.14959009076003055,0.01754595815662652,0.12780390620295773,0.17137627531710337,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,1.0107488548498176,0.11792810264979929,0.8643217754130839,1.1571759342865513,-7.176445576297385e-09,1.0883768154441116e-10,-7.311585407119047e-09,-7.041305745475723e-09
14,PINN Baseline,5,1.0,0.0,1.0,1.0,2.43322199996328e-05,2.3921355196100156e-05,-5.370065535609309e-06,5.403450553487491e-05,0.12755244413996186,0.01408464586889538,0.1100640464371051,0.14504084184281862,0.12757677635996148,0.014104047934353143,0.11006428781093502,0.14508926490898794,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,1.1832556631244795,0.12524680404997166,1.0277412156455483,1.3387701106034107,-6.131235255471997e-09,4.570744251760884e-09,-1.1806563837880287e-08,-4.5590667306370554e-10
14,Rahul's Model,5,1.0,0.0,1.0,1.0,1.958518000028562e-05,9.339267403167209e-06,7.98894789617494e-06,3.11814121043963e-05,0.16602501223998697,0.024561707537091082,0.13552762425677092,0.19652240022320303,0.1660445974199872,0.024561144638585202,0.13554790836758054,0.19654128647239386,0.1495471402000403,0.0,0.1495471402000403,0.1495471402000403,0.9181549429420542,0.14844175200861154,0.73384016364267,1.1024697222414384,-1.1753522786488818e-08,1.2376944273877464e-09,-1.3290323397753605e-08,-1.021672217522403e-08
57,Ablated PINN,5,1.0,0.0,1.0,1.0,9.188717789947987e-06,1.9955912582270207e-05,-1.558982041475844e-05,3.396725599465441e-05,0.17193160915952177,0.04652786006424591,0.11415964040428495,0.2297035779147586,0.17194079787731165,0.04654025668229983,0.1141534366877378,0.22972815906688548,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,1.0382523482383608,0.2752131684366156,0.6965300651590267,1.3799746313176948,-1.8577521861355857e-12,1.85314828617157e-13,-2.08785093716281e-12,-1.6276534351083611e-12
57,DC3,5,1.0,0.0,1.0,1.0,6.272323429584503e-07,1.355783570660577e-07,4.588895780539116e-07,7.95575107862989e-07,0.16493758424613625,0.005431253799876226,0.15819379193772254,0.17168137655454996,0.16493821147847917,0.005431175292537529,0.15819451664980153,0.17168190630715682,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,1.0215361621463803,0.03321895241618845,0.9802893848731552,1.0627829394196056,-2.8975092057483657e-14,3.0092834918748747e-13,-4.026269892824778e-13,3.446768051675105e-13
57,FSNet,5,1.0,0.0,1.0,1.0,5.626242607831955e-07,3.145237463327279e-07,1.7209144838167406e-07,9.53157073184717e-07,0.16717069737007842,0.00907249263610298,0.15590570988986058,0.17843568485029626,0.16717125999433916,0.009072508618309582,0.15590625266959077,0.17843626731908754,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,1.0094482703680323,0.05576139485308368,0.9402113538893336,1.078685186846731,9.277199886496665e-13,6.36728119583707e-14,8.486597503765595e-13,1.0067802269227737e-12
57,KKT,5,1.0,0.0,1.0,1.0,8.55647213757038e-07,2.9503741220540455e-07,4.893098808983834e-07,1.2219845466156925e-06,0.16282584468619898,0.0004920466232961109,0.16221488810861448,0.1634368012637835,0.16282670033341268,0.0004917679569153674,0.16221608976584065,0.1634373109009847,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,1.033904633313448,0.0031194008139724134,1.030031385626771,1.037777881000125,-5.577815343128342e-13,1.7498069340222313e-13,-7.750487616911055e-13,-3.405143069345628e-13
57,PINN Baseline,5,1.0,0.0,1.0,1.0,1.7770660296082498e-05,3.813838764217455e-05,-2.9584402588744985e-05,6.512572318090998e-05,0.1811797177493572,0.010451759178394714,0.16820214465964872,0.1941572908390657,0.18119748840965325,0.010429280148611584,0.16824782672194105,0.19414715009736544,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,0.9315254700242338,0.05323827023570907,0.8654214265459108,0.9976295135025568,-1.345233287098542e-12,8.385633437063206e-14,-1.4493546785078926e-12,-1.2411118956891913e-12
57,Rahul's Model,5,1.0,0.0,1.0,1.0,8.527684956789016e-07,2.3962245992146697e-07,5.552379140333918e-07,1.1502990773244115e-06,0.1776160832646303,0.009023402017402227,0.16641204983830274,0.18882011669095786,0.17761693603312595,0.009023518682883891,0.16641275774746997,0.18882111431878193,0.1683460526880808,0.0,0.1683460526880808,0.1683460526880808,0.9496671531179148,0.045867736553269915,0.8927148359606247,1.006619470275205,-1.4141259924261569e-12,1.040961176822961e-12,-2.70665000921505e-12,-1.2160197563726364e-13
162,Ablated PINN,5,1.0,0.0,1.0,1.0,0.00045772002677231787,4.238567277542363e-05,0.00040509126284742894,0.0005103487906972068,0.5509246376439868,0.01737854603807071,0.5293463226873878,0.5725029526005858,0.5513823576707592,0.017372116000883914,0.5298120266598421,0.5729526886816763,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,2.225223565463183,0.06930820902400618,2.1391660575380933,2.311281073388273,1.894969549334209e-07,2.118799763493265e-12,1.8949432409603517e-07,1.8949958577080663e-07
162,DC3,5,1.0,0.0,1.0,1.0,2.294607467194747e-05,5.318628535211808e-06,1.6342125099955745e-05,2.9550024243939193e-05,0.9776218648032821,0.26634718030672866,0.6469081599933305,1.3083355696132335,0.9776448108779541,0.26635231361002776,0.6469247322301042,1.308364889525804,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,1.3344586267666751,0.3719709863930719,0.8725956445860555,1.7963216089472946,5.738024346351806e-12,9.194452978344064e-12,-5.678396900035392e-12,1.7154445592739003e-11
162,FSNet,5,1.0,0.0,1.0,1.0,1.8626538853726787e-05,4.431731414580921e-06,1.3123817506533019e-05,2.4129260200920555e-05,0.6987466209080544,0.008043933516524753,0.688758758256641,0.7087344835594678,0.6987652474469079,0.008046611804685995,0.6887740592615079,0.708756435632308,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,1.7546908624526203,0.020366555879500953,1.7294024432496387,1.779979281655602,-8.65544410625376e-12,6.828005911621884e-12,-1.7133533226237126e-11,-1.7735498627039269e-13
162,KKT,5,1.0,0.0,1.0,1.0,3.2873884963287996e-05,8.60687592065881e-06,2.2187036995599075e-05,4.356073293097692e-05,0.6995444734814585,0.01091213444419026,0.6859952689985482,0.7130936779643688,0.6995773473664217,0.010919825724957472,0.6860185928970828,0.7131361018357607,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,1.7528051727640708,0.027119937765860844,1.7191313224066747,1.786479023121467,1.6555438383836981e-12,9.63190223578766e-12,-1.0304042402012181e-11,1.3615130078779577e-11
162,PINN Baseline,5,0.9997981836528759,0.00045127507114019595,0.9992378516437542,1.0003585156619974,2.6542563067150506e-05,1.3497170598490973e-05,9.783612257389913e-06,4.33015138769111e-05,0.9195306123308647,0.2975179899966844,0.5501132353340341,1.2889479893276954,0.919557154893932,0.2975139621926084,0.5501447790764142,1.2889695307114497,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,1.4238705635493663,0.35462213814828203,0.9835490216446028,1.8641921054541297,-5.854236306440947e-12,9.513575780756715e-12,-1.7666900847589827e-11,5.9584282347079325e-12
162,Rahul's Model,5,1.0,0.0,1.0,1.0,3.432064581127682e-05,1.0538929011561908e-05,2.123483707799522e-05,4.740645454455842e-05,0.6554212026235903,0.005966209110509041,0.6480131755653159,0.6628292296818646,0.6554555232694017,0.005963634707401334,0.648050692754783,0.6628603537840204,1.2259858939455208,0.0,1.2259858939455208,1.2259858939455208,1.8705568895273064,0.016968132234834763,1.8494881706145512,1.8916256084400616,-6.255771642202317e-13,1.287212149613051e-11,-1.660842700647026e-11,1.5357272678029794e-11
300,Ablated PINN,5,1.0,0.0,1.0,1.0,0.0003082225036431525,9.846674237174359e-05,0.00018595989461975336,0.00043048511266655163,0.9721976752000867,0.012185444222780572,0.9570674478065401,0.9873279025936333,0.9725058977037297,0.012176698679929541,0.957386529335886,0.9876252660715735,0.8913714148266273,1.2412670766236366e-16,0.8913714148266272,0.8913714148266274,0.9166871010528224,0.011517719542408928,0.9023859633556053,0.9309882387500394,5.5447079479155934e-12,6.286146593011795e-12,-2.260573964058402e-12,1.3349989859889589e-11
300,DC3,5,1.0,0.0,1.0,1.0,3.4706077227989834e-05,1.0571727002345912e-05,2.1579544410338317e-05,4.783261004564135e-05,0.9493742343400502,0.0029852731846593816,0.9456675281018555,0.9530809405782449,0.9494089404172781,0.0029805792167500074,0.9457080625100452,0.9531098183245109,1.0543214343229517,0.0,1.0543214343229517,1.0543214343229517,1.1105117057385159,0.0034840397910514717,1.1061856989616579,1.114837712515374,-3.338534841246982e-11,1.0048586409135797e-10,-1.5815502818310542e-10,9.138433135816579e-11
300,FSNet,5,1.0,0.0,1.0,1.0,5.007122850252521e-05,2.283161521740486e-05,2.1722033866232392e-05,7.842042313881804e-05,0.9469610592195143,0.003301724375132329,0.9428614269309207,0.951060691508108,0.9470111304480169,0.0033035779529773817,0.9429091966385452,0.9511130642574885,1.0543214343229517,0.0,1.0543214343229517,1.0543214343229517,1.1133255681569945,0.003886146616574518,1.1085002798114525,1.1181508565025364,-7.7367094408014e-11,1.1925449800618804e-10,-2.2544111120616024e-10,7.070692239013224e-11
300,KKT,5,1.0,0.0,1.0,1.0,3.9835957189401e-05,1.762525563114936e-05,1.7951311813064672e-05,6.172060256573732e-05,0.9412895312791484,0.009307773619279694,0.929732403872658,0.9528466586856388,0.9413293672363376,0.009305938148577334,0.9297745188677382,0.9528842156049371,1.0543214343229517,0.0,1.0543214343229517,1.0543214343229517,1.1201229204290712,0.01117134347747107,1.106251865421527,1.1339939754366155,-3.9026869777313004e-11,8.840704770317588e-11,-1.4879871809782927e-10,7.074497854320325e-11
300,PINN Baseline,5,1.0,0.0,1.0,1.0,0.00092606179209219,0.0020224695027477976,-0.0015851657769348191,0.0034372893611191993,0.9458561467472464,0.007860597184557805,0.9360959262187991,0.9556163672756937,0.9467822085393385,0.007083729254583406,0.9379865969508995,0.9555778201277775,1.0543214343229517,0.0,1.0543214343229517,1.0543214343229517,1.113633957321411,0.008361421570575683,1.1032518811834227,1.1240160334593992,-8.224423566496014e-11,1.1243984001526527e-10,-2.21856736975706e-10,5.7368265645785725e-11
300,Rahul's Model,5,1.0,0.0,1.0,1.0,4.3127339126335245e-05,1.8096355890510615e-05,2.0657745518405597e-05,6.559693273426489e-05,0.9714661702875876,0.009951444555488657,0.9591098198529165,0.9838225207222587,0.971509297626714,0.009960885849353047,0.959141224277355,0.983877370976073,1.0543214343229517,0.0,1.0543214343229517,1.0543214343229517,1.085332222132634,0.011157530820919533,1.0714783178034493,1.0991861264618188,-1.2729893261758258e-10,1.1672898119378926e-10,-2.7223710611291497e-10,1.7639240877749786e-11
